icd10_dx_code,claim_count,paid_amount
H4010X,1,610
H4011X,8,4456
H4011X0,186,105997
H4011X1,182,87129
H4011X2,257,149122
H4011X3,225,123305
H4011X4,28,6177
I6020,198,972217
I6021,291,1384117
I6022,305,837190
IN,6271,9291639
IN,692,549491
M4852X,1,4201
M4856X,1,8678
M8000X,13,3669
M8440X,20,40847
M8448X,51,89231
M8458X,66,108210
NA,76333329,26861333612
NA,434,327526
S0002X,1,144
S0003X,3,594
S0005X,3,330
S0081X,22,3067
S0083X,8,1409
S0086X,2,261
S0091X,9,881
S0093X,19,1094
S0096X,4,262
S0100X,13,31862
S0101X,143,110669
S0121X,5,567
S0181X,163,164693
S0191X,53,30298
S020XX,20,40840
S0210XA,38,50629
S0210XD,11,23919
S0210XS,12,14996
S0219X,119,187977
S022XX,24,4770
S023XX,19,45547
S023XXA,423,392632
S023XXB,38,30999
S023XXD,1,481
S023XXG,10,24482
S0261XA,60,35172
S0261XD,17,1932
S0262XA,37,60827
S0264XA,7,1447
S0264XG,11,10130
S0265XA,26,20805
S028XX,15,39877
S028XXA,186,169766
S028XXD,26,15168
S028XXS,1,50
S0291X,1,119
S030XXA,72,22520
S0501X,4,522
S0502X,12,12374
S0511X,1,261
S0521X,15,12209
S0540X,1,45
S0541X,2,274
S0590X,4,522
S0591X,10,806
S0592X,11,1775
S060X2A,22,21322
S060X2D,27,32259
S060X3A,23,1859
S062X7D,9,941
S098XX,28,3946
S0990X,335,106956
S0992X,8,1479
S0993X,28,3752
S1086X,1,261
S1181X,33,50202
S129XX,30,44048
S134XX,16,1018
S142XX,16,17064
S161XX,20,1396
S199XX,2,864
S2090X,7,771
S2220X,23,27290
S2231X,12,15053
S2232X,21,15833
S2239X,19,10234
S2241X,143,159651
S2242X,269,156979
S2243X,70,174331
S2249X,36,35491
S225XX,33,99071
S233XX,91,6066
S2341X,3,105
S270XX,172,244630
S271XX,48,48590
S272XX,26,34081
S299XX,60,4743
S300XX,20,10422
S301XX,18,19349
S3210X,75,42934
S3282X,7,840
S329XX,117,164362
S332XX,15,23175
S335XX,14,891
S338XX,3,166
S339XX,10,1186
S344XX,2,309
S3609X,56,93174
S3991X,28,35605
S3992X,32,2605
S4290X,1,30162
S4350X,1,31
S4381X,1,31
S4382X,6,10555
S4981X,5,738
S4990X,25,1699
S4991X,94,13728
S4992X,57,5884
S5002X,18,1201
S5011X,4,304
S5012X,2,289
S5290X,1,7245
S5292X,30,11885
S5402X,2,186
S5782X,1,36
S6290X,11,10878
S63144A,10,1478
S6981X,4,427
S6990X,31,39513
S6991X,128,13521
S6992X,183,20846
S7001X,20,12801
S7002X,4,480
S7010X,28,35029
S7011X,18,1371
S7012X,17,11170
S7221X,21,27614
S7222X,50,53549
S7290X,39,53668
S7291X,60,125603
S7292X,54,86983
S8001X,4,353
S8002X,5,377
S8012X,53,39837
S8252X,52,69329
S8255X,1,37
S8261X,68,82339
S8262X,41,29765
S8265X,35,7799
S8290X,3,360
S8390X,1,73
S8391X,4,345
S8392X,5,784
S8990X,36,52084
S8991X,56,21830
S8992X,91,30583
S9001X,1,34
S9032X,7,701
T1501X,7,1397
T1502X,2,603
T1511X,3,391
T1512X,1,261
T1590X,1,31
T1591X,4,292
T1592X,10,1295
T161XX,2,391
T162XX,3,405
T183XX,35,40259
T189XX,26,17940
T2000X,14,22216
T2010X,10,22219
T2020X,33,45327
T2022X,13,16392
T2029X,9,12726
T2102X,2,261
T2121X,25,10857
T2122X,7,189
T2129X,15,23902
T2132X,19,17145
T2612X,1,79
T4272X,14,6439
T5894X,2,655
T6591X,29,37950
T6592X,18,21013
T671XX,2,595
T68XXX,25,25327
T7020X,7,467
T754XX,2,319
T7801X,2,864
T7802X,10,21619
T781XX,1,54
T782XX,68,34855
T783XX,81,71541
T7840X,132,26314
T796XX,19,19598
T797XX,15,14479
T798XX,34,21427
T799XX,13,14392
T8069X,9,8596
T8089X,22,21674
T8111X,16,24145
T8130X,123,114541
T8131X,321,270476
T8132X,101,115356
T814XX,2058,3045094
T814XXA,39406,60164580
T814XXD,3158,1472481
T814XXS,381,285768
T8182X,9,9821
T8183X,27,82200
T8189X,205,146321
T819XX,41,40106
T8241X,33,33936
T8249X,16,31560
T826XX,2,106744
T827XX,178,259377
T829XX,13,9092
T8321X,15,25082
T8351X,51,57325
T8351XA,560,693176
T8351XD,4,2659
T8351XS,21,34216
T8359X,12,6767
T8359XA,193,260042
T8359XD,3,622
T836XXA,111,177565
T8384X,13,13874
T8389X,1,144
T839XX,2,274
T84040,22,69309
T84040A,236,501233
T84040D,63,55315
T84040S,6,6213
T84041,23,27772
T84041A,320,628343
T84041D,32,42556
T84041S,9,1510
T84042,7,18059
T84042A,111,165684
T84042D,50,32444
T84043,8,960
T84043A,59,123970
T84048A,79,114989
T84048D,11,1339
T84049D,13,4812
T8450X,72,113243
T8451X,134,182764
T8452X,52,81535
T8453X,150,203941
T8454X,232,385134
T8459X,44,70999
T8463X,25,62336
T847XX,4,90
T8481X,12,21289
T8482X,9,43554
T8484X,329,562402
T8486X,11,1276
T8489X,210,320198
T849XX,49,81055
T8542X,24,11608
T8543X,12,11721
T8544X,61,51905
T8549X,3,52
T8579X,294,388787
T8582XA,25,14101
T8583X,6,314
T8583XA,57,101715
T8584XA,453,361293
T8584XD,38,44864
T8584XS,30,9320
T8585XA,96,155381
T8586XA,44,46630
T8589X,6,2390
T8589XA,633,533988
T8589XD,26,27051
T859XX,30,60588
T8859X,11,9962
T886XX,32,172844
UN,3600894,871445379
UN,50643906,17999029332
V299XX,14,19599
V892XX,17,12089
W19XXX,27,79645
Z2251,13,4798
Z2252,10,276
